,former,,,,,,forecast,,,,,
Date,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
6/08/2010,1799.26001,1805.839966,1770.459961,1795.699951,1795.699951,2696580000,1805.869995,1823.209961,1774.050049,1778.920044,1778.920044,2325060000
6/09/2010,1805.869995,1823.209961,1774.050049,1778.920044,1778.920044,2325060000,1800.569946,1831.810059,1796.319946,1830.089966,1830.089966,2187840000
6/10/2010,1800.569946,1831.810059,1796.319946,1830.089966,1830.089966,2187840000,1814.25,1848.619995,1811.98999,1847.150024,1847.150024,1877120000
6/11/2010,1814.25,1848.619995,1811.98999,1847.150024,1847.150024,1877120000,1862.699951,1876.939941,1844.160034,1845.47998,1845.47998,1951910000
6/14/2010,1862.699951,1876.939941,1844.160034,1845.47998,1845.47998,1951910000,1855.689941,1898.790039,1855.689941,1897.47998,1897.47998,2289060000
6/15/2010,1855.689941,1898.790039,1855.689941,1897.47998,1897.47998,2289060000,1891.26001,1913.209961,1888.219971,1905.310059,1905.310059,1936400000
6/16/2010,1891.26001,1913.209961,1888.219971,1905.310059,1905.310059,1936400000,1914.75,1916.23999,1894.27002,1910.650024,1910.650024,1821680000
6/17/2010,1914.75,1916.23999,1894.27002,1910.650024,1910.650024,1821680000,1911.060059,1925.199951,1906.849976,1913.47998,1913.47998,2037230000
6/18/2010,1911.060059,1925.199951,1906.849976,1913.47998,1913.47998,2037230000,1939.77002,1939.77002,1885.199951,1895.839966,1895.839966,1910700000
6/21/2010,1939.77002,1939.77002,1885.199951,1895.839966,1895.839966,1910700000,1903.310059,1917.26001,1877.969971,1880.540039,1880.540039,1934450000
6/22/2010,1903.310059,1917.26001,1877.969971,1880.540039,1880.540039,1934450000,1883.969971,1889.72998,1859.050049,1874.420044,1874.420044,1929450000
6/23/2010,1883.969971,1889.72998,1859.050049,1874.420044,1874.420044,1929450000,1868.469971,1871.130005,1839.319946,1844.589966,1844.589966,2064360000
6/24/2010,1868.469971,1871.130005,1839.319946,1844.589966,1844.589966,2064360000,1848.819946,1857.310059,1829.300049,1838.52002,1838.52002,3540350000
6/25/2010,1848.819946,1857.310059,1829.300049,1838.52002,1838.52002,3540350000,1843.27002,1852.660034,1823.51001,1836,1836,1876740000
6/28/2010,1843.27002,1852.660034,1823.51001,1836,1836,1876740000,1805.550049,1807.089966,1752.560059,1764.060059,1764.060059,2827090000
6/29/2010,1805.550049,1807.089966,1752.560059,1764.060059,1764.060059,2827090000,1761.97998,1776.609985,1734.900024,1739.140015,1739.140015,2221560000
6/30/2010,1761.97998,1776.609985,1734.900024,1739.140015,1739.140015,2221560000,1741.930054,1747.25,1700.040039,1734.410034,1734.410034,2717070000
7/01/2010,1741.930054,1747.25,1700.040039,1734.410034,1734.410034,2717070000,1736.25,1742.359985,1712.920044,1728.339966,1728.339966,1672320000
7/02/2010,1736.25,1742.359985,1712.920044,1728.339966,1728.339966,1672320000,1752.97998,1763.880005,1719.199951,1734.680054,1734.680054,2173030000
7/06/2010,1752.97998,1763.880005,1719.199951,1734.680054,1734.680054,2173030000,1739.01001,1790.180054,1736.98999,1789.719971,1789.719971,2199500000
7/07/2010,1739.01001,1790.180054,1736.98999,1789.719971,1789.719971,2199500000,1801.550049,1805.829956,1777.439941,1798.310059,1798.310059,2034030000
7/08/2010,1801.550049,1805.829956,1777.439941,1798.310059,1798.310059,2034030000,1797.040039,1815.23999,1793,1814.790039,1814.790039,1592610000
7/09/2010,1797.040039,1815.23999,1793,1814.790039,1814.790039,1592610000,1814.48999,1831.619995,1808.699951,1821.030029,1821.030029,1767970000
7/12/2010,1814.48999,1831.619995,1808.699951,1821.030029,1821.030029,1767970000,1835.02002,1851.25,1822.25,1845.030029,1845.030029,2278480000
7/13/2010,1835.02002,1851.25,1822.25,1845.030029,1845.030029,2278480000,1847.920044,1863.52002,1840.619995,1853.410034,1853.410034,2213010000
7/14/2010,1847.920044,1863.52002,1840.619995,1853.410034,1853.410034,2213010000,1849.23999,1860.349976,1830.699951,1856.23999,1856.23999,2011600000
7/15/2010,1849.23999,1860.349976,1830.699951,1856.23999,1856.23999,2011600000,1845.5,1850.72998,1802.540039,1803.47998,1803.47998,2195150000
7/16/2010,1845.5,1850.72998,1802.540039,1803.47998,1803.47998,2195150000,1807.98999,1822.709961,1794.560059,1819.280029,1819.280029,1735090000
7/19/2010,1807.98999,1822.709961,1794.560059,1819.280029,1819.280029,1735090000,1789.930054,1841.160034,1784.550049,1840.670044,1840.670044,1933270000
7/20/2010,1789.930054,1841.160034,1784.550049,1840.670044,1840.670044,1933270000,1859.599976,1859.849976,1813.280029,1817.300049,1817.300049,2222030000
7/21/2010,1859.599976,1859.849976,1813.280029,1817.300049,1817.300049,2222030000,1842.380005,1870.410034,1842.380005,1863.099976,1863.099976,2213220000
7/22/2010,1842.380005,1870.410034,1842.380005,1863.099976,1863.099976,2213220000,1851.810059,1875.380005,1846.319946,1875.380005,1875.380005,2410600000
7/23/2010,1851.810059,1875.380005,1846.319946,1875.380005,1875.380005,2410600000,1875.77002,1890.400024,1867.839966,1890.400024,1890.400024,2164280000
7/26/2010,1875.77002,1890.400024,1867.839966,1890.400024,1890.400024,2164280000,1899.130005,1900.150024,1880.219971,1888.810059,1888.810059,2065390000
7/27/2010,1899.130005,1900.150024,1880.219971,1888.810059,1888.810059,2065390000,1887.459961,1894.689941,1866.680054,1872.619995,1872.619995,1848520000
7/28/2010,1887.459961,1894.689941,1866.680054,1872.619995,1872.619995,1848520000,1884.069946,1887.410034,1841.359985,1860.300049,1860.300049,2324590000
7/29/2010,1884.069946,1887.410034,1841.359985,1860.300049,1860.300049,2324590000,1842.329956,1874.640015,1833.900024,1864,1864,2138610000
7/30/2010,1842.329956,1874.640015,1833.900024,1864,1864,2138610000,1886.609985,1902.670044,1879.77002,1898.98999,1898.98999,1953200000
8/02/2010,1886.609985,1902.670044,1879.77002,1898.98999,1898.98999,1953200000,1898.459961,1898.630005,1881.579956,1891.810059,1891.810059,1997030000
8/03/2010,1898.459961,1898.630005,1881.579956,1891.810059,1891.810059,1997030000,1898.810059,1911.01001,1891.22998,1909.199951,1909.199951,2021980000
8/04/2010,1898.810059,1911.01001,1891.22998,1909.199951,1909.199951,2021980000,1900.069946,1907.800049,1892.5,1904.949951,1904.949951,1774300000
8/05/2010,1900.069946,1907.800049,1892.5,1904.949951,1904.949951,1774300000,1883.319946,1905.01001,1873.439941,1902.880005,1902.880005,1876630000
8/06/2010,1883.319946,1905.01001,1873.439941,1902.880005,1902.880005,1876630000,1911.380005,1918.780029,1902.97998,1915.170044,1915.170044,1614580000
8/09/2010,1911.380005,1918.780029,1902.97998,1915.170044,1915.170044,1614580000,1896.709961,1908.72998,1882.599976,1899.23999,1899.23999,2039590000
8/10/2010,1896.709961,1908.72998,1882.599976,1899.23999,1899.23999,2039590000,1866,1866,1838.890015,1845.380005,1845.380005,2274460000
8/11/2010,1866,1866,1838.890015,1845.380005,1845.380005,2274460000,1808.630005,1839.23999,1807.459961,1832.170044,1832.170044,2189680000
8/12/2010,1808.630005,1839.23999,1807.459961,1832.170044,1832.170044,2189680000,1825.290039,1832.459961,1818.300049,1818.800049,1818.800049,1605040000
8/13/2010,1825.290039,1832.459961,1818.300049,1818.800049,1818.800049,1605040000,1806.969971,1834.050049,1801.73999,1821.51001,1821.51001,1627620000
8/16/2010,1806.969971,1834.050049,1801.73999,1821.51001,1821.51001,1627620000,1833.150024,1860.680054,1831.27002,1845.369995,1845.369995,1736870000
8/17/2010,1833.150024,1860.680054,1831.27002,1845.369995,1845.369995,1736870000,1841.420044,1862.369995,1834.199951,1850.800049,1850.800049,1654560000
8/18/2010,1841.420044,1862.369995,1834.199951,1850.800049,1850.800049,1654560000,1842.790039,1847.619995,1811.569946,1823,1823,2094800000
8/19/2010,1842.790039,1847.619995,1811.569946,1823,1823,2094800000,1818.420044,1829.920044,1810.619995,1825.75,1825.75,1898500000
8/20/2010,1818.420044,1829.920044,1810.619995,1825.75,1825.75,1898500000,1833.329956,1842.790039,1807.839966,1808.310059,1808.310059,1665900000
8/23/2010,1833.329956,1842.790039,1807.839966,1808.310059,1808.310059,1665900000,1783.199951,1793.430054,1767.359985,1775.27002,1775.27002,2141650000
8/24/2010,1783.199951,1793.430054,1767.359985,1775.27002,1775.27002,2141650000,1762.680054,1798.380005,1758.619995,1790.880005,1790.880005,2019480000
8/25/2010,1762.680054,1798.380005,1758.619995,1790.880005,1790.880005,2019480000,1797.349976,1800.619995,1767.849976,1769.02002,1769.02002,1804510000
8/26/2010,1797.349976,1800.619995,1767.849976,1769.02002,1769.02002,1804510000,1780.109985,1794.290039,1747.319946,1791.640015,1791.640015,2134550000
8/27/2010,1780.109985,1794.290039,1747.319946,1791.640015,1791.640015,2134550000,1785.97998,1798.469971,1772.069946,1772.069946,1772.069946,1585200000
8/30/2010,1785.97998,1798.469971,1772.069946,1772.069946,1772.069946,1585200000,1762.540039,1781.469971,1755.380005,1767.430054,1767.430054,2084110000
8/31/2010,1762.540039,1781.469971,1755.380005,1767.430054,1767.430054,2084110000,1791.910034,1824.660034,1791.410034,1820.050049,1820.050049,2133970000
9/01/2010,1791.910034,1824.660034,1791.410034,1820.050049,1820.050049,2133970000,1822.829956,1840.579956,1817.98999,1840.579956,1840.579956,1680590000
9/02/2010,1822.829956,1840.579956,1817.98999,1840.579956,1840.579956,1680590000,1864.030029,1870.310059,1851.599976,1870.310059,1870.310059,1647790000
9/03/2010,1864.030029,1870.310059,1851.599976,1870.310059,1870.310059,1647790000,1862.880005,1870.060059,1854.430054,1856.5,1856.5,1685240000
9/07/2010,1862.880005,1870.060059,1854.430054,1856.5,1856.5,1685240000,1863.709961,1887.170044,1863.530029,1880,1880,2018210000
9/08/2010,1863.709961,1887.170044,1863.530029,1880,1880,2018210000,1897.01001,1897.930054,1882.790039,1886.140015,1886.140015,1706650000
9/09/2010,1897.01001,1897.930054,1882.790039,1886.140015,1886.140015,1706650000,1887.829956,1895.920044,1879.709961,1892.339966,1892.339966,1692470000
9/10/2010,1887.829956,1895.920044,1879.709961,1892.339966,1892.339966,1692470000,1908.75,1924.609985,1908.410034,1921.670044,1921.670044,1937630000
9/13/2010,1908.75,1924.609985,1908.410034,1921.670044,1921.670044,1937630000,1917.829956,1938.01001,1913.709961,1928.589966,1928.589966,2079030000
9/14/2010,1917.829956,1938.01001,1913.709961,1928.589966,1928.589966,2079030000,1923.969971,1942.339966,1918.099976,1939.599976,1939.599976,2067130000
9/15/2010,1923.969971,1942.339966,1918.099976,1939.599976,1939.599976,2067130000,1937.180054,1949.390015,1931.719971,1948.109985,1948.109985,1809280000
9/16/2010,1937.180054,1949.390015,1931.719971,1948.109985,1948.109985,1809280000,1959.26001,1961.01001,1945.52002,1955.829956,1955.829956,2432480000
9/17/2010,1959.26001,1961.01001,1945.52002,1955.829956,1955.829956,2432480000,1962.150024,1992.800049,1960.430054,1989.430054,1989.430054,1989520000
